10000001;PADARIA FAKE 1 LTDA;2135;50;0,00;01;
10000002;SALAO FAKE 2 LTDA;2135;50;0,00;01;
10000003;DOCERIA FAKE 3 LTDA;2135;50;0,00;01;
10000004;ENCANADOR FAKE 4 LTDA;2135;50;0,00;01;
10000005;ELETRICISTA FAKE 5 LTDA;2135;50;0,00;01;
10000006;CLIENTE CONTADOR A LTDA;2135;50;0,00;01;
10000007;CLIENTE CONTADOR B LTDA;2135;50;0,00;01;
10000008;CLIENTE CONTADOR C LTDA;2135;50;0,00;01;
10000009;CLIENTE CONTADOR D LTDA;2135;50;0,00;01;
10000010;CLIENTE CONTADOR E LTDA;2135;50;0,00;01;
10000011;CLIENTE CONTADOR F LTDA;2135;50;0,00;01;
10000012;CLIENTE CONTADOR G LTDA;2135;50;0,00;01;
10000013;EMPRESA FORA DE MG LTDA;2135;50;0,00;01;
10000014;EMPRESA BAIXADA MG LTDA;2135;50;0,00;01;
10000015;EMPRESA SEM EMAIL LTDA;2135;50;0,00;01;
